20,92,78
16,51,95
73,54,52
51,60,83
23,92,12
58,21,67
65,2,38
86,49,75
69,28,56
47,95,5
33,80,21
20,78,63
22,88,69
63,63,76
82,93,96
53,99,13
72,68,80
43,63,91
66,55,4
56,13,60
11,7,37
5,28,58
65,80,63
93,83,62
13,92,5
21,53,72
57,32,36
83,79,4
5,64,56
2,31,91
39,87,81
45,16,55
26,34,51
22,99,15
46,30,93
28,49,2
94,55,95
34,1,5
26,96,66
39,60,63
90,93,32
36,91,11
82,20,8
100,83,7
83,25,17
2,29,14
79,93,21
81,13,68
72,70,21
14,53,92
10,22,75
8,11,74
48,20,93
60,98,42
73,34,82
22,13,58
59,29,16
28,61,47
39,70,57
60,29,86
41,31,94
91,96,55
12,61,47
49,80,24
58,31,15
99,100,6
26,27,81
88,54,35
67,7,1
1,99,90
75,28,9
27,58,38
41,22,58
60,15,93
91,47,79
49,30,82
95,73,87
32,90,69
29,7,60
76,7,95
85,22,92
81,92,67
10,56,74
77,88,67
22,45,20
14,24,6
90,48,46
14,98,89
81,35,16
70,90,70
52,20,12
15,45,70
41,2,77
62,16,41
69,72,13
36,39,55
16,35,7
48,14,17
17,34,44
48,94,87
71,84,55
24,74,58
43,76,31
21,49,88
97,17,67
43,65,22
79,84,63
23,53,28
2,97,98
50,99,41
26,95,50
33,49,14
15,32,76
95,30,68
59,89,3
7,29,29
24,12,20
26,60,19
72,78,21
89,64,26
17,50,82
67,36,100
79,74,66
28,77,64
24,83,37
58,37,88
47,12,71
63,50,2
73,27,84
17,65,4
100,93,26
34,44,4
68,92,77
34,46,93
87,95,50
63,20,90
4,7,55
22,76,14
3,71,55
47,2,21
40,89,76
66,14,58
96,23,8
10,62,25
